state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,payment_amount,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_gap_score,access_risk
ACT,55 to 64,Cerebral Palsy,Unknown,8,0,50,116.0,0.0,0.06896551724137931,50,0.0,0.3581281833616299,Low Risk
ACT,55 to 64,Down Syndrome,Unknown,8,0,50,160.0,0.0,0.05,50,0.0,0.3380730050933786,Low Risk
ACT,55 to 64,Hearing Impairment,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,55 to 64,Intellectual Disability,Unknown,8,0,50,338.0,0.0,0.023668639053254437,50,0.0,0.29738964346349744,Low Risk
ACT,55 to 64,Multiple Sclerosis,Unknown,8,0,50,72.0,0.0,0.1111111111111111,50,0.0,0.395946519524618,Low Risk
ACT,55 to 64,Other,Unknown,8,0,50,96.0,0.0,0.08333333333333333,50,0.0,0.3728353140916808,Low Risk
ACT,55 to 64,Other Neurological,Unknown,8,0,50,136.0,0.0,0.058823529411764705,50,0.0,0.3485780984719864,Low Risk
ACT,55 to 64,Other Physical,Unknown,8,0,50,106.0,0.0,0.07547169811320754,50,0.0,0.3653862478777589,Low Risk
ACT,55 to 64,Other Sensory/Speech,Unknown,6,0,50,1.0,0.0,6.0,50,0.0,0.671943972835314,High Risk
ACT,55 to 64,Psychosocial disability,Unknown,8,0,50,214.0,0.0,0.037383177570093455,50,0.0,0.31839983022071305,Low Risk
ACT,55 to 64,Spinal Cord Injury,Unknown,8,0,50,28.0,0.0,0.2857142857142857,50,0.0,0.4773132427843803,Medium Risk
ACT,55 to 64,Stroke,Unknown,8,0,50,110.0,0.0,0.07272727272727272,50,0.0,0.36233022071307297,Low Risk
ACT,55 to 64,Visual Impairment,Unknown,8,0,50,32.0,0.0,0.25,50,0.0,0.4654711375212224,Medium Risk
ACT,65+,ABI,Unknown,8,0,50,90.0,0.0,0.08888888888888889,50,0.0,0.37875636672325974,Low Risk
ACT,65+,Autism,Unknown,8,0,50,30.0,0.0,0.26666666666666666,50,0.0,0.4708191850594228,Medium Risk
ACT,65+,Cerebral Palsy,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
