RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppClass,AvgAnlsdCmtdSuppBdgt,ActvPrtcpnt
31DEC2025,ALL,ALL,Visual Impairment,19 to 24,ALL,"47,000.00",758
31DEC2025,ALL,ALL,Visual Impairment,19 to 24,Capital,"13,000.00",144
31DEC2025,ALL,ALL,Visual Impairment,19 to 24,Core,"30,000.00",739
31DEC2025,ALL,ALL,Visual Impairment,19 to 24,CapacityBuilding,"15,000.00",744
31DEC2025,ALL,ALL,ABI,25 to 34,ALL,"191,000.00",1771
31DEC2025,ALL,ALL,ABI,25 to 34,Capital,"22,000.00",517
31DEC2025,ALL,ALL,ABI,25 to 34,CapacityBuilding,"27,000.00",1686
31DEC2025,ALL,ALL,ABI,25 to 34,Core,"163,000.00",1707
31DEC2025,ALL,ALL,Autism,25 to 34,ALL,"100,000.00",24362
31DEC2025,ALL,ALL,Autism,25 to 34,Capital,"19,000.00",1294
31DEC2025,ALL,ALL,Autism,25 to 34,Core,"87,000.00",22552
31DEC2025,ALL,ALL,Autism,25 to 34,CapacityBuilding,"18,000.00",24002
31DEC2025,ALL,ALL,Cerebral Palsy,25 to 34,ALL,"262,000.00",2848
31DEC2025,ALL,ALL,Cerebral Palsy,25 to 34,Capital,"27,000.00",2060
31DEC2025,ALL,ALL,Cerebral Palsy,25 to 34,Core,"223,000.00",2795
31DEC2025,ALL,ALL,Cerebral Palsy,25 to 34,CapacityBuilding,"23,000.00",2829
31DEC2025,ALL,ALL,Down Syndrome,25 to 34,ALL,"173,000.00",2331
31DEC2025,ALL,ALL,Down Syndrome,25 to 34,Capital,"11,000.00",454
31DEC2025,ALL,ALL,Down Syndrome,25 to 34,CapacityBuilding,"19,000.00",2313
31DEC2025,ALL,ALL,Down Syndrome,25 to 34,Core,"152,000.00",2328
31DEC2025,ALL,ALL,DsbltyGrp_Missing,25 to 34,ALL,"97,000.00",<22
31DEC2025,ALL,ALL,DsbltyGrp_Missing,25 to 34,Capital,,<11
31DEC2025,ALL,ALL,DsbltyGrp_Missing,25 to 34,Core,"77,000.00",<18
31DEC2025,ALL,ALL,DsbltyGrp_Missing,25 to 34,CapacityBuilding,"20,000.00",16
31DEC2025,ALL,ALL,Global developmental delay,25 to 34,ALL,,<11
31DEC2025,ALL,ALL,Global developmental delay,25 to 34,Core,,<11
31DEC2025,ALL,ALL,Hearing Impairment,25 to 34,ALL,"17,000.00",2879
31DEC2025,ALL,ALL,Hearing Impairment,25 to 34,Capital,"7,000.00",790
31DEC2025,ALL,ALL,Hearing Impairment,25 to 34,CapacityBuilding,"6,000.00",2626
31DEC2025,ALL,ALL,Hearing Impairment,25 to 34,Core,"10,000.00",2802
31DEC2025,ALL,ALL,Intellectual Disability,25 to 34,ALL,"150,000.00",18720
31DEC2025,ALL,ALL,Intellectual Disability,25 to 34,Capital,"18,000.00",2585
31DEC2025,ALL,ALL,Intellectual Disability,25 to 34,Core,"132,000.00",18053
31DEC2025,ALL,ALL,Intellectual Disability,25 to 34,CapacityBuilding,"20,000.00",18354
31DEC2025,ALL,ALL,Multiple Sclerosis,25 to 34,ALL,"86,000.00",536
31DEC2025,ALL,ALL,Multiple Sclerosis,25 to 34,Capital,"17,000.00",160
31DEC2025,ALL,ALL,Multiple Sclerosis,25 to 34,Core,"65,000.00",517
31DEC2025,ALL,ALL,Multiple Sclerosis,25 to 34,CapacityBuilding,"18,000.00",534
31DEC2025,ALL,ALL,Other,25 to 34,ALL,"137,000.00",680
31DEC2025,ALL,ALL,Other,25 to 34,Capital,"32,000.00",436
31DEC2025,ALL,ALL,Other,25 to 34,Core,"96,000.00",663
31DEC2025,ALL,ALL,Other,25 to 34,CapacityBuilding,"23,000.00",667
31DEC2025,ALL,ALL,Other Neurological,25 to 34,ALL,"227,000.00",1598
31DEC2025,ALL,ALL,Other Neurological,25 to 34,Capital,"30,000.00",840
31DEC2025,ALL,ALL,Other Neurological,25 to 34,Core,"193,000.00",1556
31DEC2025,ALL,ALL,Other Neurological,25 to 34,CapacityBuilding,"23,000.00",1581
31DEC2025,ALL,ALL,Other Physical,25 to 34,ALL,"115,000.00",1292
31DEC2025,ALL,ALL,Other Physical,25 to 34,Capital,"28,000.00",822
31DEC2025,ALL,ALL,Other Physical,25 to 34,Core,"84,000.00",1262
31DEC2025,ALL,ALL,Other Physical,25 to 34,CapacityBuilding,"16,000.00",1284
31DEC2025,ALL,ALL,Other Sensory/Speech,25 to 34,ALL,"40,000.00",61
31DEC2025,ALL,ALL,Other Sensory/Speech,25 to 34,Capital,,<11
31DEC2025,ALL,ALL,Other Sensory/Speech,25 to 34,Core,"38,000.00",<49
31DEC2025,ALL,ALL,Other Sensory/Speech,25 to 34,CapacityBuilding,"12,000.00",56
31DEC2025,ALL,ALL,Psychosocial disability,25 to 34,ALL,"133,000.00",8339
31DEC2025,ALL,ALL,Psychosocial disability,25 to 34,Capital,"26,000.00",225
31DEC2025,ALL,ALL,Psychosocial disability,25 to 34,Core,"110,000.00",8146
31DEC2025,ALL,ALL,Psychosocial disability,25 to 34,CapacityBuilding,"25,000.00",8284
31DEC2025,ALL,ALL,Spinal Cord Injury,25 to 34,ALL,"240,000.00",531
31DEC2025,ALL,ALL,Spinal Cord Injury,25 to 34,Capital,"43,000.00",428
31DEC2025,ALL,ALL,Spinal Cord Injury,25 to 34,CapacityBuilding,"24,000.00",501
31DEC2025,ALL,ALL,Spinal Cord Injury,25 to 34,Core,"185,000.00",513
31DEC2025,ALL,ALL,Stroke,25 to 34,ALL,"144,000.00",210
31DEC2025,ALL,ALL,Stroke,25 to 34,Capital,"16,000.00",89
31DEC2025,ALL,ALL,Stroke,25 to 34,Core,"117,000.00",204
31DEC2025,ALL,ALL,Stroke,25 to 34,CapacityBuilding,"24,000.00",208
31DEC2025,ALL,ALL,Visual Impairment,25 to 34,ALL,"62,000.00",1081
31DEC2025,ALL,ALL,Visual Impairment,25 to 34,Capital,"14,000.00",211
31DEC2025,ALL,ALL,Visual Impairment,25 to 34,CapacityBuilding,"12,000.00",1051
31DEC2025,ALL,ALL,Visual Impairment,25 to 34,Core,"49,000.00",1066
31DEC2025,ALL,ALL,ABI,35 to 44,ALL,"206,000.00",2757
31DEC2025,ALL,ALL,ABI,35 to 44,Capital,"25,000.00",890
31DEC2025,ALL,ALL,ABI,35 to 44,CapacityBuilding,"26,000.00",2668
31DEC2025,ALL,ALL,ABI,35 to 44,Core,"176,000.00",2691
31DEC2025,ALL,ALL,Autism,35 to 44,ALL,"102,000.00",9864
31DEC2025,ALL,ALL,Autism,35 to 44,Capital,"17,000.00",748
31DEC2025,ALL,ALL,Autism,35 to 44,Core,"90,000.00",9195
31DEC2025,ALL,ALL,Autism,35 to 44,CapacityBuilding,"18,000.00",9780
31DEC2025,ALL,ALL,Cerebral Palsy,35 to 44,ALL,"293,000.00",2239
31DEC2025,ALL,ALL,Cerebral Palsy,35 to 44,Capital,"28,000.00",1679
31DEC2025,ALL,ALL,Cerebral Palsy,35 to 44,Core,"250,000.00",2229
31DEC2025,ALL,ALL,Cerebral Palsy,35 to 44,CapacityBuilding,"23,000.00",2232
31DEC2025,ALL,ALL,Developmental delay,35 to 44,ALL,,<11
31DEC2025,ALL,ALL,Developmental delay,35 to 44,CapacityBuilding,,<11
31DEC2025,ALL,ALL,Down Syndrome,35 to 44,ALL,"194,000.00",2078
31DEC2025,ALL,ALL,Down Syndrome,35 to 44,Capital,"12,000.00",477
31DEC2025,ALL,ALL,Down Syndrome,35 to 44,CapacityBuilding,"18,000.00",2055
31DEC2025,ALL,ALL,Down Syndrome,35 to 44,Core,"173,000.00",2073
31DEC2025,ALL,ALL,DsbltyGrp_Missing,35 to 44,ALL,"145,000.00",<21
31DEC2025,ALL,ALL,DsbltyGrp_Missing,35 to 44,CapacityBuilding,"21,000.00",<22
31DEC2025,ALL,ALL,DsbltyGrp_Missing,35 to 44,Capital,,<11
31DEC2025,ALL,ALL,DsbltyGrp_Missing,35 to 44,Core,"130,000.00",<22
31DEC2025,ALL,ALL,Hearing Impairment,35 to 44,ALL,"23,000.00",2381
31DEC2025,ALL,ALL,Hearing Impairment,35 to 44,Capital,"8,000.00",942
31DEC2025,ALL,ALL,Hearing Impairment,35 to 44,CapacityBuilding,"6,000.00",2290
31DEC2025,ALL,ALL,Hearing Impairment,35 to 44,Core,"14,000.00",2327
31DEC2025,ALL,ALL,Intellectual Disability,35 to 44,ALL,"176,000.00",12031
31DEC2025,ALL,ALL,Intellectual Disability,35 to 44,Capital,"19,000.00",2652
31DEC2025,ALL,ALL,Intellectual Disability,35 to 44,Core,"153,000.00",11842
31DEC2025,ALL,ALL,Intellectual Disability,35 to 44,CapacityBuilding,"21,000.00",11859
31DEC2025,ALL,ALL,Multiple Sclerosis,35 to 44,ALL,"95,000.00",1785
31DEC2025,ALL,ALL,Multiple Sclerosis,35 to 44,Capital,"16,000.00",757
31DEC2025,ALL,ALL,Multiple Sclerosis,35 to 44,Core,"71,000.00",1759
31DEC2025,ALL,ALL,Multiple Sclerosis,35 to 44,CapacityBuilding,"18,000.00",1781
31DEC2025,ALL,ALL,Other,35 to 44,ALL,"147,000.00",1073
31DEC2025,ALL,ALL,Other,35 to 44,Capital,"33,000.00",748
31DEC2025,ALL,ALL,Other,35 to 44,Core,"106,000.00",1053
31DEC2025,ALL,ALL,Other,35 to 44,CapacityBuilding,"19,000.00",1063
31DEC2025,ALL,ALL,Other Neurological,35 to 44,ALL,"210,000.00",1906
31DEC2025,ALL,ALL,Other Neurological,35 to 44,Capital,"26,000.00",1090
31DEC2025,ALL,ALL,Other Neurological,35 to 44,Core,"175,000.00",1884
31DEC2025,ALL,ALL,Other Neurological,35 to 44,CapacityBuilding,"23,000.00",1890
31DEC2025,ALL,ALL,Other Physical,35 to 44,ALL,"122,000.00",1969
31DEC2025,ALL,ALL,Other Physical,35 to 44,Capital,"27,000.00",1388
31DEC2025,ALL,ALL,Other Physical,35 to 44,Core,"87,000.00",1943
31DEC2025,ALL,ALL,Other Physical,35 to 44,CapacityBuilding,"17,000.00",1953
31DEC2025,ALL,ALL,Other Sensory/Speech,35 to 44,ALL,"72,000.00",22
31DEC2025,ALL,ALL,Other Sensory/Speech,35 to 44,Capital,,<11
