RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SILorSDA,suppclass,Utlstn
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,ALL,Capital,66%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,ALL,Core,69%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,No,ALL,64%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,No,Capacity Building,61%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,No,Capital,62%
31DEC2025,SA,Southern Adelaide,Other Physical,ALL,No,Core,65%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,ALL,ALL,53%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,ALL,Capacity Building,50%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,ALL,Core,65%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,No,ALL,53%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,No,Capacity Building,50%
31DEC2025,SA,Southern Adelaide,Other Sensory/Speech,ALL,No,Core,65%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,ALL,ALL,76%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,ALL,Capacity Building,66%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,ALL,Capital,57%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,ALL,Core,79%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,No,ALL,74%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,No,Capacity Building,64%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,No,Capital,40%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,No,Core,76%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,Yes,ALL,85%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,Yes,Capacity Building,79%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,Yes,Capital,66%
31DEC2025,SA,Southern Adelaide,Psychosocial disability,ALL,Yes,Core,86%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,ALL,ALL,68%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,ALL,Capacity Building,60%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,ALL,Capital,87%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,ALL,Core,67%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,No,ALL,64%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,No,Capacity Building,59%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,No,Capital,85%
31DEC2025,SA,Southern Adelaide,Spinal Cord Injury,ALL,No,Core,61%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,ALL,ALL,76%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,ALL,Capacity Building,67%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,ALL,Capital,84%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,ALL,Core,77%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,No,ALL,65%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,No,Capacity Building,64%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,No,Capital,67%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,No,Core,65%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,Yes,ALL,93%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,Yes,Capacity Building,77%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,Yes,Capital,95%
31DEC2025,SA,Southern Adelaide,Stroke,ALL,Yes,Core,95%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,ALL,ALL,71%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,ALL,Capacity Building,57%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,ALL,Capital,34%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,ALL,Core,76%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,No,ALL,68%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,No,Capacity Building,57%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,No,Capital,19%
31DEC2025,SA,Southern Adelaide,Visual Impairment,ALL,No,Core,73%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,ALL,ALL,72%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,ALL,Capacity Building,73%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,ALL,Capital,64%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,ALL,Core,70%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,No,ALL,72%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,No,Capacity Building,73%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,No,Capital,64%
31DEC2025,SA,Western Adelaide,ALL,0 to 8,No,Core,70%
31DEC2025,SA,Western Adelaide,Autism,0 to 8,ALL,ALL,73%
31DEC2025,SA,Western Adelaide,Autism,0 to 8,ALL,Capacity Building,74%
